Date,target_value
2022-11-16,1233.7056885
2022-11-17,1208.3286135
2022-11-18,1206.5512085
2022-11-19,1215.3211059999999
2022-11-20,1180.451477
2022-11-21,1125.3743895
2022-11-22,1121.534729
2022-11-23,1159.310547
2022-11-24,1193.6641235
2022-11-25,1201.3626705000001
2022-11-26,1202.3442380000001
2022-11-27,1200.5161130000001
2022-11-28,1182.5232545
2022-11-29,1193.3878175
2022-11-30,1256.308655
2022-12-01,1286.0217284999999
2022-12-02,1285.315979
2022-12-03,1268.8956910000002
2022-12-04,1261.737915
2022-12-05,1269.8378295
2022-12-06,1265.7540285
2022-12-07,1251.9953005
2022-12-08,1256.7840575
2022-12-09,1272.6810305
2022-12-10,1265.3798215
2022-12-11,1265.1431885
2022-12-12,1269.0962525
2022-12-13,1297.6058349999998
2022-12-14,1315.008667
2022-12-15,1287.772339
2022-12-16,1217.359985
2022-12-17,1178.108154
2022-12-18,1186.421875
2022-12-19,1176.184082
2022-12-20,1190.293945
